patent	us_class
130	106/464
130	106/644
130	106/738
130	106/817
130	423/220
130	423/419.1
130	423/420.2
130	423/441
130	423/430
130	404/044
131	405/019
131	442/181
132	405/239
132	405/240
132	405/243
132	175/056
132	175/171
133	165/045
133	165/104.19
133	052/169.11
134	405/229
134	405/302.7
134	104/106
135	210/096.1
135	210/207
135	210/295
135	210/519
135	210/521
136	210/602
136	210/603
136	210/170.1
137	210/602
137	210/150
137	210/143
137	210/151
138	210/774
138	210/180
139	705/500
139	110/342
139	110/345
139	299/010
139	588/300
139	423/235
139	166/308.1
139	405/053
139	166/268
139	075/392
139	210/747.5
140	405/195.1
141	210/626
141	252/182.12
142	252/182.3
142	568/009
143	405/129.95
144	405/129.6
145	405/129.6
146	405/272
147	588/016
147	525/523
147	588/255
148	205/758
148	205/742
148	204/287
148	204/275.1
148	204/277
148	261/108
149	405/302.4
150	210/748.17
150	210/192
151	248/201
151	248/224.7
152	405/195.1
152	405/185
153	405/128.1
153	414/800
153	280/404
154	052/167.1
154	405/302.4
155	422/187
156	405/129.95
157	210/752
157	210/096.1
157	210/759
158	062/003.2
158	165/134.1
158	165/104.27
158	165/166
158	203/011
159	210/631
159	210/667
160	435/262
160	435/262.5
160	435/264
161	106/484
161	210/638
162	210/631
162	210/143
162	210/294
162	210/259
162	210/202
162	210/150
162	210/096.2
163	222/190
163	222/129
163	222/394
163	222/638
163	210/170.8
163	210/209
163	210/631
163	210/749
164	205/701
164	205/742
164	205/751
164	205/628
164	205/637
164	205/639
164	204/242
164	204/275.1
164	204/276
164	204/278
165	071/012
165	210/631
165	210/195.3
165	210/243
166	210/614
166	210/747
166	210/702
166	210/170.1
166	210/138
166	210/096.1
167	210/631
167	210/202
168	204/524
168	204/632
169	106/772
169	425/086
170	106/817
171	210/688
171	210/660
171	210/681
171	210/690
171	502/426
172	405/271
172	405/302.4
173	435/262
173	100/295
174	405/286
174	405/284
174	047/044
174	047/047
174	047/083
175	210/748.17
175	210/192
175	210/259
176	435/262
177	203/011
177	203/010
177	202/158
178	202/176
178	210/175
178	210/250
178	210/257.2
179	210/631
179	210/711
179	210/713
179	210/714
179	210/725
179	210/727
179	210/906
180	210/097
180	210/321.69
181	405/129.9
182	210/660
182	210/807
183	210/749
183	210/198.1
184	588/319
184	588/300
184	588/313
184	209/659
184	209/235
185	052/302.3
185	052/169.5
186	521/040
186	521/040.5
186	521/041
186	521/046
186	521/047.5
186	521/048
186	528/480
186	528/502.R
186	528/502.A
186	241/019
186	241/022
186	209/132
186	209/142
186	209/162
186	209/172.5
186	209/724
187	210/603
187	210/626
187	210/195.1
187	210/614
188	252/373
188	422/001
188	422/107
189	095/187
189	096/235
190	071/008
190	435/266
190	210/601
190	435/290.1
190	405/128.1
191	210/741
191	210/297
191	210/202
191	210/096.1
191	210/783
192	052/019
192	220/004.3
192	220/004.26
192	404/025
193	210/610
194	405/302.4
194	502/400
194	106/638
194	106/713
195	071/012
195	070/011
195	422/187
195	210/752
196	205/743
196	204/274
196	204/262
196	205/742
197	210/665
197	210/721
197	210/287
197	210/282
197	252/186.1
198	210/737
198	095/205
198	095/195
198	210/151
199	588/309
199	588/313
199	588/320
199	588/252
200	502/151
200	502/340
200	502/161
200	502/401
200	502/150
200	502/172
200	502/170
200	502/162
200	588/250
201	588/312
201	422/184.1
202	062/064
202	062/050.2
202	062/053.2
202	169/046
202	128/200.24
202	210/776
202	423/210
202	239/001
202	405/130
202	705/026
203	588/256
203	588/412
203	588/315
204	210/605
204	435/819
204	435/801
204	435/041
204	435/042
204	435/132
204	435/153
204	435/162
204	435/170
204	435/171
204	435/243
205	159/004.1
205	159/047.3
206	210/603
206	210/617
206	210/259
206	210/260
206	071/010
206	071/026
207	405/239
207	405/243
207	405/240
208	210/652
208	210/650
208	210/639
208	210/767
208	210/749
208	210/660
208	210/195.2
208	210/175
208	210/766
208	210/805
208	096/234
208	166/260
209	405/282
210	435/262
210	435/290.1
211	210/709
211	210/086
212	210/710
213	405/195.1
213	114/265
214	205/688
214	205/701
214	205/742
214	205/751
214	204/242
214	204/275.1
214	204/276
215	405/302.4
216	114/264
216	220/567.2
216	210/170.11
216	055/385.1
217	588/252
218	210/602
218	210/170.3
218	210/512.1
218	210/513
219	062/617
219	062/532
219	128/204.16
219	128/205.12
220	588/249.5
220	053/167
221	210/740
221	210/149
221	210/103
221	210/742
222	210/652
222	166/075.11
222	166/105
222	166/265
222	166/267
222	210/137
222	210/167.1
222	210/195.1
222	210/195.2
222	210/257.1
222	210/258
222	210/321.66
222	210/747
222	210/805
222	210/806
222	210/257.2
222	210/321.65
222	210/739
222	417/053
222	417/076
222	417/087
222	417/151
222	417/244
223	210/638
223	210/195.2
224	210/662
224	210/669
224	210/289
225	526/229
225	252/186.43
225	703/012
226	210/603
226	210/259
226	210/260
227	201/018
227	202/100
227	202/117
227	202/216
227	110/245
227	588/019
227	201/019
227	201/036
228	405/267
228	405/263
229	210/710
229	210/713
229	210/724
229	210/725
229	210/727
229	210/912
229	210/913
230	210/683
230	423/226
230	096/004
230	210/170.11
230	205/464
231	204/632
231	210/198.1
231	210/098
231	210/259
231	204/665
231	210/173
231	210/153
232	205/688
232	205/701
232	205/742
232	205/751
232	204/242
232	204/275.1
232	204/276
233	210/202
233	210/205
234	210/747
234	210/769
234	210/776
234	210/170.11
234	210/922
234	210/923
234	405/191
234	114/312
234	114/337
234	114/382
235	205/743
235	205/744
235	205/742
235	204/242
236	405/284
237	166/266
237	159/047.1
237	159/047.3
237	166/267
237	166/272.3
237	166/303
237	210/652
237	210/664
237	210/774
237	210/806
238	210/634
238	095/107
238	095/273
238	095/274
238	095/287
238	096/131
238	096/132
238	096/142
238	096/154
238	210/266
238	210/284
238	210/290
238	210/291
238	210/484
238	210/485
238	210/489
238	210/335
238	210/511
238	210/638
238	210/678
238	210/679
238	210/806
239	071/012
240	405/128.1
241	422/194
241	422/184.1
241	422/193
241	422/196
241	422/197
241	422/204
241	210/749
241	210/752
241	210/761
241	166/061
242	588/256
243	052/169.13
243	052/630
243	052/300
243	052/741.13
243	052/745.19
243	052/309.1
244	204/524
244	204/525
244	204/533
244	204/536
244	204/632
245	210/138
245	210/170.1
245	210/170.11
246	210/638
246	210/639
246	210/190
247	210/626
247	210/195.3
248	502/172
249	052/169.5
249	052/309.4
249	052/741.3
249	052/717.3
250	052/020
250	220/567.1
250	052/079.8
250	052/309.1
250	052/712
250	052/741.4
250	052/745.6
250	052/745.16
251	210/602
251	210/170.9
251	210/085
251	901/031
252	205/688
252	205/701
252	205/742
252	205/751
252	204/242
252	204/275.1
252	204/276
253	210/604
253	210/613
253	210/603
253	210/609
253	071/009
253	210/151
253	210/177
253	210/188
253	210/765
254	210/758
254	210/173
255	210/652
255	210/639
255	210/650
255	210/767
255	210/749
255	210/766
255	210/805
255	210/660
255	210/175
255	210/195.2
255	096/234
256	205/688
256	205/701
256	205/742
256	205/751
256	204/242
256	204/275.1
256	204/276
257	210/722
257	210/134
258	210/738
258	210/519
258	210/086
258	210/120
259	405/195.1
259	405/185
260	210/195.3
260	210/194
260	210/202
260	210/241
261	210/689
261	604/367
261	602/043
261	588/249
261	521/151
261	521/068
262	210/713
262	210/749
262	210/725
263	210/638
263	210/639
263	210/712
263	210/713
263	210/718
263	210/724
263	210/726
263	210/747
263	210/803
263	210/804
263	210/906
263	210/915
264	210/151
264	210/194
264	210/197
264	210/617
264	210/629
264	261/DIG.72
265	210/116
265	210/202
266	423/437.1
266	423/220
266	588/250
266	062/053.1
266	062/602
267	205/688
267	205/701
267	205/742
267	205/751
267	204/242
267	204/275.1
267	204/276
268	210/605
268	210/617
268	210/151
269	210/631
269	210/667
269	210/711
270	405/129.1
270	241/025
270	241/024.1
270	405/129.2
270	405/129.95
271	210/650
271	210/321.84
271	428/098
271	428/188
272	510/507
272	405/129.9
273	205/080
273	023/314
273	204/294
273	205/687
274	210/609
274	210/105
275	210/170.8
276	210/170.8
276	210/259
276	210/269
276	210/195.1
277	210/745
277	210/805
277	210/786
277	210/739
278	210/143
278	210/149
279	422/001
279	422/028
279	422/040
279	422/291
279	422/301
279	422/309
279	241/082.4
279	422/184.1
280	210/603
280	210/608
280	210/613
281	405/263
282	588/318
283	405/128.1
284	004/222
285	210/603
285	210/609
285	071/010
286	261/121.1
286	210/600
286	210/750
287	210/734
287	210/731
287	210/725
287	210/738
287	210/767
288	405/128.75
289	210/613
289	210/180
289	210/188
290	209/012.1
290	209/039
290	209/040
291	210/725
291	210/727
291	210/912
291	210/913
292	210/602
292	210/170.1
292	210/170.3
292	210/532.1
292	210/151
293	205/688
293	205/701
293	205/703
293	205/746
293	205/749
293	204/252
293	204/259
293	204/262
293	204/263
293	204/266
294	210/747
294	114/312
294	114/337
294	210/170.1
294	901/002
294	901/027
295	210/738
295	210/803
295	210/205
295	210/532.1
295	210/533
296	166/303
296	166/267
296	426/576
297	203/003
297	203/001
297	203/024
297	203/034
297	203/040
297	203/087
298	203/027
298	202/177
298	202/180
299	159/047.3
299	159/017.3
300	210/143
300	210/205
301	210/609
301	210/705
301	210/739
301	210/740
301	210/741
301	210/742
301	210/743
301	210/744
301	210/746
301	210/087
301	210/088
302	210/205
302	210/257.2
302	210/299
302	210/416.3
303	204/278.5
303	204/294
303	204/661
303	204/666
303	205/688
303	205/758
304	210/500.23
304	210/500.42
304	427/244
305	052/293.3
306	052/741.3
306	052/232
306	052/309.17
306	052/745.19
307	210/652
307	210/650
307	210/743
307	210/747
307	210/748
307	210/749
307	210/754
308	210/702
308	210/202
308	210/903
309	210/605
309	210/251
309	210/609
310	210/603
310	210/609
311	210/702
311	210/709
311	210/758
311	210/721
311	210/205
311	210/096.1
311	210/257.1
311	210/220
311	210/259
311	210/748
311	210/753
312	210/151
313	210/748
313	204/280
314	435/262
314	435/292.1
315	210/717
315	210/716
316	210/195.1
316	210/788
316	210/804
316	210/512.1
316	210/259
316	210/513
316	210/512.2
316	210/703
316	210/805
317	405/129.95
317	405/036
317	405/302.7
317	210/170
317	210/747
318	209/003.1
318	209/155
318	209/724
319	210/716
319	210/207
319	210/723
319	210/724
319	516/138
320	241/024.1
320	241/184
321	210/195.1
321	210/197
321	210/199
321	210/202
321	210/203
321	210/241
321	175/066
322	210/119
322	210/123
322	210/124
322	210/195.3
322	210/197
322	210/220
322	210/532.2
322	210/540
323	210/724
323	252/175
323	210/906
324	210/741
324	210/109
324	210/110
324	210/770
324	210/771
325	404/076
326	052/019
327	210/770
327	588/261
328	510/370
329	210/167.01
330	201/041
330	202/208
331	588/256
332	210/605
332	210/612
332	210/175
332	210/603
332	210/614
333	588/256
334	588/250
335	210/602
335	210/603
335	210/610
335	210/612
335	210/259
335	210/903
335	210/906
336	210/748
336	210/760
336	210/770
336	210/175
336	210/202
337	261/122.1
337	261/124
337	261/DIG.70
338	405/128.75
339	210/695
339	210/705
339	210/711
339	210/713
339	210/714
339	210/725
339	210/727
339	210/912
339	210/913
339	210/914
340	210/699
340	210/696
340	210/698
340	252/181
340	422/015
340	422/019
341	210/724
342	588/321
342	422/188
343	210/620
344	210/724
344	210/738
345	034/060
345	034/443
346	210/605
347	588/318
348	106/668
348	106/669
348	106/671
348	106/697
348	588/257
349	405/129.95
350	052/514
351	210/620
351	210/632
351	210/209
352	405/128.25
